"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2013,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",1519
2013,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",413
2013,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",567
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",594
2013,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",524
2013,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",915
2013,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",501
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",555
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",857
2013,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",678
2013,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",1088
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",94
2013,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",1131
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",236
2013,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",393
2013,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",462
2013,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",656
2013,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",928
2013,4,"Les Corts",19,"les Corts","Home","Sense estudis",713
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",452
2013,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",149
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",78
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",332
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",171
2013,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",304
2013,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",533
2013,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",322
2013,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",250
2013,6,"Gràcia",29,"el Coll","Home","Sense estudis",170
2013,6,"Gràcia",30,"la Salut","Home","Sense estudis",277
2013,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",767
2013,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",569
2013,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",555
2013,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",285
2013,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",781
2013,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",215
2013,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",1663
2013,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",511
2013,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",278
2013,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",169
2013,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",143
2013,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",23
2013,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",942
2013,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",745
2013,8,"Nou Barris",45,"Porta","Home","Sense estudis",989
2013,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",584
2013,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",121
2013,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",566
2013,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",349
2013,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",912
2013,8,"Nou Barris",51,"Verdun","Home","Sense estudis",597
2013,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",1372
2013,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",371
2013,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",166
