"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Sense estudis",114
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Sense estudis",510
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Sense estudis",280
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Sense estudis",438
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Sense estudis",597
2021,1,"Ciutat Vella",1,"el Raval","Dones","Estudis primaris / certificat d'escolaritat / EGB",4461
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Estudis primaris / certificat d'escolaritat / EGB",1095
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Estudis primaris / certificat d'escolaritat / EGB",1304
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Estudis primaris / certificat d'escolaritat / EGB",1495
2021,2,"Eixample",5,"el Fort Pienc","Dones","Estudis primaris / certificat d'escolaritat / EGB",1887
2021,2,"Eixample",6,"la Sagrada Família","Dones","Estudis primaris / certificat d'escolaritat / EGB",3441
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Estudis primaris / certificat d'escolaritat / EGB",1673
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Estudis primaris / certificat d'escolaritat / EGB",1822
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Estudis primaris / certificat d'escolaritat / EGB",3149
2021,2,"Eixample",10,"Sant Antoni","Dones","Estudis primaris / certificat d'escolaritat / EGB",2670
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Estudis primaris / certificat d'escolaritat / EGB",3691
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Estudis primaris / certificat d'escolaritat / EGB",204
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Estudis primaris / certificat d'escolaritat / EGB",3758
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Estudis primaris / certificat d'escolaritat / EGB",867
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Estudis primaris / certificat d'escolaritat / EGB",1310
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Estudis primaris / certificat d'escolaritat / EGB",1783
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Estudis primaris / certificat d'escolaritat / EGB",2391
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Estudis primaris / certificat d'escolaritat / EGB",3239
2021,4,"Les Corts",19,"les Corts","Dones","Estudis primaris / certificat d'escolaritat / EGB",2428
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Estudis primaris / certificat d'escolaritat / EGB",1553
2021,4,"Les Corts",21,"Pedralbes","Dones","Estudis primaris / certificat d'escolaritat / EGB",382
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Estudis primaris / certificat d'escolaritat / EGB",183
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Estudis primaris / certificat d'escolaritat / EGB",795
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Estudis primaris / certificat d'escolaritat / EGB",377
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Estudis primaris / certificat d'escolaritat / EGB",710
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Estudis primaris / certificat d'escolaritat / EGB",1332
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Estudis primaris / certificat d'escolaritat / EGB",864
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Estudis primaris / certificat d'escolaritat / EGB",837
2021,6,"Gràcia",29,"el Coll","Dones","Estudis primaris / certificat d'escolaritat / EGB",544
2021,6,"Gràcia",30,"la Salut","Dones","Estudis primaris / certificat d'escolaritat / EGB",701
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Estudis primaris / certificat d'escolaritat / EGB",2710
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Estudis primaris / certificat d'escolaritat / EGB",1971
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Estudis primaris / certificat d'escolaritat / EGB",1860
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Estudis primaris / certificat d'escolaritat / EGB",729
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Estudis primaris / certificat d'escolaritat / EGB",2618
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Estudis primaris / certificat d'escolaritat / EGB",615
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Estudis primaris / certificat d'escolaritat / EGB",3713
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Estudis primaris / certificat d'escolaritat / EGB",1264
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Estudis primaris / certificat d'escolaritat / EGB",677
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Estudis primaris / certificat d'escolaritat / EGB",420
